mbps,country,major_area,region
297.62,United Arab Emirates,Asia,Western Asia
297.57,Singapore,Asia,South-Eastern Asia
280.00,Hong Kong (SAR),Asia,Eastern Asia
265.62,Chile,Latin America and the Caribbean,South America
242.27,United States,Northern America,Northern America
232.15,Thailand,Asia,South-Eastern Asia
223.72,France,Europe,Western Europe
219.23,Denmark,Europe,Northern Europe
213.98,Iceland,Europe,Northern Europe
206.42,Israel,Asia,Western Asia
205.17,Spain,Europe,Southern Europe
203.50,Switzerland,Europe,Western Europe
200.94,Romania,Europe,Eastern Europe
198.28,Taiwan,Asia,Eastern Asia
197.78,Japan,Asia,Eastern Asia
189.49,China,Asia,Eastern Asia
188.29,Kuwait,Asia,Western Asia
188.20,Canada,Northern America,Northern America
186.84,Netherlands,Europe,Western Europe
186.36,Liechtenstein,Europe,Western Europe
178.80,New Zealand,Oceania,Australia and New Zealand
174.95,Hungary,Europe,Eastern Europe
173.33,Qatar,Asia,Western Asia
172.13,Portugal,Europe,Southern Europe
170.42,Brazil,Latin America and the Caribbean,South America
166.89,Peru,Latin America and the Caribbean,South America
162.24,Macau (SAR),Asia,Eastern Asia
157.63,South Korea,Asia,Eastern Asia
156.02,Uruguay,Latin America and the Caribbean,South America
154.51,Poland,Europe,Eastern Europe
151.94,Panama,Latin America and the Caribbean,Central America
151.69,Vietnam,Asia,South-Eastern Asia
150.88,Jordan,Asia,Western Asia
144.98,Colombia,Latin America and the Caribbean,South America
142.05,Luxembourg,Europe,Western Europe
138.62,Sweden,Europe,Northern Europe
133.34,Ireland,Europe,Northern Europe
131.03,Malaysia,Asia,South-Eastern Asia
129.00,Norway,Europe,Northern Europe
120.73,Moldova,Europe,Eastern Europe
119.78,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
119.59,Lithuania,Europe,Northern Europe
116.51,Malta,Europe,Southern Europe
114.33,Finland,Europe,Northern Europe
112.24,Saudi Arabia,Asia,Western Asia
108.61,United Kingdom,Europe,Northern Europe
100.82,Belgium,Europe,Western Europe
99.09,Barbados,Latin America and the Caribbean,Caribbean
96.65,Costa Rica,Latin America and the Caribbean,Central America
94.78,San Marino,Europe,Southern Europe
94.43,Philippines,Asia,South-Eastern Asia
94.01,Saint Lucia,Latin America and the Caribbean,Caribbean
93.79,Ecuador,Latin America and the Caribbean,South America
93.74,Dominica,Latin America and the Caribbean,Caribbean
92.98,Slovenia,Europe,Southern Europe
92.86,Austria,Europe,Western Europe
92.67,Paraguay,Latin America and the Caribbean,South America
92.62,Latvia,Europe,Northern Europe
90.78,Guyana,Latin America and the Caribbean,South America
90.63,Germany,Europe,Western Europe
88.08,Russia,Europe,Eastern Europe
88.03,Argentina,Latin America and the Caribbean,South America
86.10,Cyprus,Asia,Western Asia
84.66,Bahrain,Asia,Western Asia
82.28,Serbia,Europe,Southern Europe
81.84,Ukraine,Europe,Eastern Europe
81.08,Slovakia,Europe,Eastern Europe
80.14,Estonia,Europe,Northern Europe
79.31,Mexico,Latin America and the Caribbean,Central America
78.42,Italy,Europe,Southern Europe
77.75,Brunei,Asia,South-Eastern Asia
77.60,Bulgaria,Europe,Eastern Europe
76.48,Egypt,Africa,Northern Africa
76.44,Jamaica,Latin America and the Caribbean,Caribbean
72.64,Oman,Asia,Western Asia
71.87,Australia,Oceania,Australia and New Zealand
71.62,Nepal,Asia,Southern Asia
71.45,Mongolia,Asia,Eastern Asia
69.55,Czechia,Europe,Eastern Europe
69.37,Uzbekistan,Asia,Central Asia
69.35,Kosovo,Europe,Southern Europe
68.16,Palestine,Asia,Western Asia
65.44,Kyrgyzstan,Asia,Central Asia
63.79,India,Asia,Southern Asia
63.11,The Bahamas,Latin America and the Caribbean,Caribbean
62.71,Albania,Europe,Southern Europe
62.04,Côte d'Ivoire,Africa,Western Africa
61.13,Montenegro,Europe,Southern Europe
61.05,Belarus,Europe,Eastern Europe
59.81,Venezuela,Latin America and the Caribbean,South America
59.51,Nicaragua,Latin America and the Caribbean,Central America
58.81,Kazakhstan,Asia,Central Asia
56.54,Armenia,Asia,Western Asia
55.77,El Salvador,Latin America and the Caribbean,Central America
52.32,Guatemala,Latin America and the Caribbean,Central America
51.61,Mauritius,Africa,Eastern Africa
50.69,Croatia,Europe,Southern Europe
50.52,Honduras,Latin America and the Caribbean,Central America
48.14,Bangladesh,Asia,Southern Asia
47.35,South Africa,Africa,Southern Africa
47.03,Greece,Europe,Southern Europe
45.80,Burkina Faso,Africa,Western Africa
45.52,Cambodia,Asia,South-Eastern Asia
45.47,Azerbaijan,Asia,Western Asia
44.74,Belize,Latin America and the Caribbean,Central America
42.90,Turkey,Asia,Western Asia
42.45,Bolivia,Latin America and the Caribbean,South America
42.26,North Macedonia,North Macedonia,
41.57,Haiti,Latin America and the Caribbean,Caribbean
41.42,Gabon,Africa,Middle Africa
40.58,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
38.80,Laos,Asia,South-Eastern Asia
38.03,DR Congo,Africa,Middle Africa
37.80,Ghana,Africa,Western Africa
36.10,Dominican Republic,Latin America and the Caribbean,Caribbean
35.94,Congo,Africa,Middle Africa
34.40,Georgia,Asia,Western Asia
33.35,Iraq,Asia,Western Asia
32.06,Indonesia,Asia,South-Eastern Asia
30.74,Bosnia and Herzegovina,Europe,Southern Europe
30.68,Togo,Africa,Western Africa
30.50,Rwanda,Africa,Eastern Africa
29.57,Morocco,Africa,Northern Africa
29.26,Tajikistan,Asia,Central Asia
27.41,Madagascar,Africa,Eastern Africa
26.36,Fiji,Oceania,Melanesia
24.72,Sierra Leone,Africa,Western Africa
22.94,Sri Lanka,Asia,Southern Asia
22.48,Benin,Africa,Western Africa
21.81,Zimbabwe,Africa,Eastern Africa
21.65,Senegal,Africa,Western Africa
21.59,Nigeria,Africa,Western Africa
21.56,Myanmar (Burma),Asia,South-Eastern Asia
19.30,Mauritania,Africa,Western Africa
18.61,Tanzania,Africa,Eastern Africa
18.58,Angola,Africa,Middle Africa
18.20,Zambia,Africa,Eastern Africa
17.38,Lebanon,Asia,Western Asia
17.09,Uganda,Africa,Eastern Africa
17.08,Djibouti,Africa,Eastern Africa
16.76,Somalia,Africa,Eastern Africa
16.48,Mozambique,Africa,Eastern Africa
15.52,Pakistan,Asia,Southern Asia
14.81,Iran,Asia,Southern Asia
14.73,Namibia,Africa,Southern Africa
14.26,Algeria,Africa,Northern Africa
13.27,Maldives,Asia,Southern Asia
12.09,Suriname,Latin America and the Caribbean,South America
11.59,Kenya,Africa,Eastern Africa
11.10,Libya,Africa,Northern Africa
10.70,Cape Verde,Africa,Western Africa
10.58,Tunisia,Africa,Northern Africa
9.94,Cameroon,Africa,Middle Africa
9.48,Ethiopia,Africa,Eastern Africa
9.35,Guinea,Africa,Western Africa
8.90,Liberia,Africa,Western Africa
8.53,Botswana,Africa,Southern Africa
7.54,Yemen,Asia,Western Asia
3.65,Syria,Asia,Western Asia
3.63,Afghanistan,Asia,Southern Asia
3.53,Turkmenistan,Asia,Central Asia
