mbps,country,major_area,region,rank_change
297.62,United Arab Emirates,Asia,Western Asia,-
297.57,Singapore,Asia,South-Eastern Asia,-
280.00,Hong Kong (SAR),Asia,Eastern Asia,-
265.62,Chile,Latin America and the Caribbean,South America,-
242.27,United States,Northern America,Northern America,-
232.15,Thailand,Asia,South-Eastern Asia,-
223.72,France,Europe,Western Europe,+1
219.23,Denmark,Europe,Northern Europe,+1
213.98,Iceland,Europe,Northern Europe,-2
206.42,Israel,Asia,Western Asia,+2
205.17,Spain,Europe,Southern Europe,-1
203.50,Switzerland,Europe,Western Europe,+2
200.94,Romania,Europe,Eastern Europe,-
198.28,Taiwan,Asia,Eastern Asia,+1
197.78,Japan,Asia,Eastern Asia,+1
189.49,China,Asia,Eastern Asia,-5
188.29,Kuwait,Asia,Western Asia,+3
188.20,Canada,Northern America,Northern America,-
186.84,Netherlands,Europe,Western Europe,-2
186.36,Liechtenstein,Europe,Western Europe,-1
178.80,New Zealand,Oceania,Australia and New Zealand,-
174.95,Hungary,Europe,Eastern Europe,-
173.33,Qatar,Asia,Western Asia,+2
172.13,Portugal,Europe,Southern Europe,-1
170.42,Brazil,Latin America and the Caribbean,South America,-1
166.89,Peru,Latin America and the Caribbean,South America,+3
162.24,Macau (SAR),Asia,Eastern Asia,-1
157.63,South Korea,Asia,Eastern Asia,-
156.02,Uruguay,Latin America and the Caribbean,South America,-2
154.51,Poland,Europe,Eastern Europe,-
151.94,Panama,Latin America and the Caribbean,Central America,-
151.69,Vietnam,Asia,South-Eastern Asia,-
150.88,Jordan,Asia,Western Asia,-
144.98,Colombia,Latin America and the Caribbean,South America,+2
142.05,Luxembourg,Europe,Western Europe,-1
138.62,Sweden,Europe,Northern Europe,-1
133.34,Ireland,Europe,Northern Europe,+1
131.03,Malaysia,Asia,South-Eastern Asia,+1
129.00,Norway,Europe,Northern Europe,-2
120.73,Moldova,Europe,Eastern Europe,-
119.78,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,+1
119.59,Lithuania,Europe,Northern Europe,-1
116.51,Malta,Europe,Southern Europe,-
114.33,Finland,Europe,Northern Europe,-
112.24,Saudi Arabia,Asia,Western Asia,-
108.61,United Kingdom,Europe,Northern Europe,-
100.82,Belgium,Europe,Western Europe,-
99.09,Barbados,Latin America and the Caribbean,Caribbean,+1
96.65,Costa Rica,Latin America and the Caribbean,Central America,+3
94.78,San Marino,Europe,Southern Europe,-
94.43,Philippines,Asia,South-Eastern Asia,+2
94.01,Saint Lucia,Latin America and the Caribbean,Caribbean,-1
93.79,Ecuador,Latin America and the Caribbean,South America,+1
93.74,Dominica,Latin America and the Caribbean,Caribbean,+3
92.98,Slovenia,Europe,Southern Europe,+1
92.86,Austria,Europe,Western Europe,-8
92.67,Paraguay,Latin America and the Caribbean,South America,+1
92.62,Latvia,Europe,Northern Europe,-3
90.78,Guyana,Latin America and the Caribbean,South America,+5
90.63,Germany,Europe,Western Europe,-1
88.08,Russia,Europe,Eastern Europe,-
88.03,Argentina,Latin America and the Caribbean,South America,-
86.10,Cyprus,Asia,Western Asia,-3
84.66,Bahrain,Asia,Western Asia,-1
82.28,Serbia,Europe,Southern Europe,+1
81.84,Ukraine,Europe,Eastern Europe,+1
81.08,Slovakia,Europe,Eastern Europe,-2
80.14,Estonia,Europe,Northern Europe,-
79.31,Mexico,Latin America and the Caribbean,Central America,+5
78.42,Italy,Europe,Southern Europe,-1
77.75,Brunei,Asia,South-Eastern Asia,-
77.60,Bulgaria,Europe,Eastern Europe,-2
76.48,Egypt,Africa,Northern Africa,-1
76.44,Jamaica,Latin America and the Caribbean,Caribbean,-1
72.64,Oman,Asia,Western Asia,+2
71.87,Australia,Oceania,Australia and New Zealand,+3
71.62,Nepal,Asia,Southern Asia,-2
71.45,Mongolia,Asia,Eastern Asia,-2
69.55,Czechia,Europe,Eastern Europe,+1
69.37,Uzbekistan,Asia,Central Asia,+2
69.35,Kosovo,Europe,Southern Europe,-3
68.16,Palestine,Asia,Western Asia,-1
65.44,Kyrgyzstan,Asia,Central Asia,+2
63.79,India,Asia,Southern Asia,+2
63.11,The Bahamas,Latin America and the Caribbean,Caribbean,+3
62.71,Albania,Europe,Southern Europe,+1
62.04,Côte d'Ivoire,Africa,Western Africa,+2
61.13,Montenegro,Europe,Southern Europe,-4
61.05,Belarus,Europe,Eastern Europe,+1
59.81,Venezuela,Latin America and the Caribbean,South America,+2
59.51,Nicaragua,Latin America and the Caribbean,Central America,-
58.81,Kazakhstan,Asia,Central Asia,+2
56.54,Armenia,Asia,Western Asia,-
55.77,El Salvador,Latin America and the Caribbean,Central America,+2
52.32,Guatemala,Latin America and the Caribbean,Central America,+2
51.61,Mauritius,Africa,Eastern Africa,+2
50.69,Croatia,Europe,Southern Europe,-2
50.52,Honduras,Latin America and the Caribbean,Central America,+1
48.14,Bangladesh,Asia,Southern Asia,+2
47.35,South Africa,Africa,Southern Africa,+2
47.03,Greece,Europe,Southern Europe,-1
45.80,Burkina Faso,Africa,Western Africa,+3
45.52,Cambodia,Asia,South-Eastern Asia,+1
45.47,Azerbaijan,Asia,Western Asia,+5
44.74,Belize,Latin America and the Caribbean,Central America,-2
42.90,Turkey,Asia,Western Asia,+1
42.45,Bolivia,Latin America and the Caribbean,South America,+9
42.26,North Macedonia,North Macedonia,,-2
41.57,Haiti,Latin America and the Caribbean,Caribbean,+5
41.42,Gabon,Africa,Middle Africa,-
40.58,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,-3
38.80,Laos,Asia,South-Eastern Asia,+1
38.03,DR Congo,Africa,Middle Africa,-2
37.80,Ghana,Africa,Western Africa,+1
36.10,Dominican Republic,Latin America and the Caribbean,Caribbean,+2
35.94,Congo,Africa,Middle Africa,-4
34.40,Georgia,Asia,Western Asia,+9
33.35,Iraq,Asia,Western Asia,+1
32.06,Indonesia,Asia,South-Eastern Asia,+2
30.74,Bosnia and Herzegovina,Europe,Southern Europe,+2
30.68,Togo,Africa,Western Africa,+2
30.50,Rwanda,Africa,Eastern Africa,-2
29.57,Morocco,Africa,Northern Africa,+1
29.26,Tajikistan,Asia,Central Asia,+1
27.41,Madagascar,Africa,Eastern Africa,-7
26.36,Fiji,Oceania,Melanesia,+4
24.72,Sierra Leone,Africa,Western Africa,+1
22.94,Sri Lanka,Asia,Southern Asia,+3
22.48,Benin,Africa,Western Africa,-
21.81,Zimbabwe,Africa,Eastern Africa,+9
21.65,Senegal,Africa,Western Africa,-4
21.59,Nigeria,Africa,Western Africa,-
21.56,Myanmar (Burma),Asia,South-Eastern Asia,-
19.30,Mauritania,Africa,Western Africa,+4
18.61,Tanzania,Africa,Eastern Africa,+2
18.58,Angola,Africa,Middle Africa,-1
18.20,Zambia,Africa,Eastern Africa,-1
17.38,Lebanon,Asia,Western Asia,+3
17.09,Uganda,Africa,Eastern Africa,+4
17.08,Djibouti,Africa,Eastern Africa,-
16.76,Somalia,Africa,Eastern Africa,+1
16.48,Mozambique,Africa,Eastern Africa,+2
15.52,Pakistan,Asia,Southern Asia,+2
14.81,Iran,Asia,Southern Asia,+2
14.73,Namibia,Africa,Southern Africa,+3
14.26,Algeria,Africa,Northern Africa,+1
13.27,Maldives,Asia,Southern Asia,+2
12.09,Suriname,Latin America and the Caribbean,South America,+2
11.59,Kenya,Africa,Eastern Africa,+2
11.10,Libya,Africa,Northern Africa,+2
10.70,Cape Verde,Africa,Western Africa,-
10.58,Tunisia,Africa,Northern Africa,+1
9.94,Cameroon,Africa,Middle Africa,+1
9.48,Ethiopia,Africa,Eastern Africa,+1
9.35,Guinea,Africa,Western Africa,+1
8.90,Liberia,Africa,Western Africa,+1
8.53,Botswana,Africa,Southern Africa,+1
7.54,Yemen,Asia,Western Asia,+1
3.65,Syria,Asia,Western Asia,+1
3.63,Afghanistan,Asia,Southern Asia,+2
3.53,Turkmenistan,Asia,Central Asia,-
